id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
32160830,Imperial Luxury and Modern Apartment,239935182,Teresa Y Javi,Casco Antiguo,San Bartolomé,37.39092,-5.98729,Entire home/apt,137,2,73,2022-06-27,1.74,4,42,8,A/SE/00277
32161182,Ático Imperial con terraza B,239935182,Teresa Y Javi,Casco Antiguo,San Bartolomé,37.39092,-5.98729,Entire home/apt,171,2,199,2022-09-22,4.77,4,48,76,A/SE/00277
32161820,RR1 PARKING INCLUDED + COMMON SOLARIUM TERRACE. Bright 2B apartment,241271766,Nacho,Casco Antiguo,San Julián,37.3991,-5.98812,Entire home/apt,129,2,25,2022-06-03,0.58,5,81,8,VFT/SE/03198
32172807,Sevilla Home Center Suites Catedral,2842843,Inmaculada,Casco Antiguo,Museo,37.38974,-6.00006,Hotel room,122,1,0,,,6,132,0,CTC/2018117342
32175637,AlohaMundi Lumbreras,118796113,Pepe Y Maru,Casco Antiguo,San Lorenzo,37.40007,-5.99406,Entire home/apt,70,2,95,2022-09-15,2.17,38,64,54,VFT/SE/05208
32181941,Casa con terraza cerca de la estación Santa Justa,364267118,Carmen,San Pablo - Santa Justa,"Carretera de Carmona, María Auxiliadora, Fontanal",37.39813,-5.9767,Entire home/apt,79,2,62,2022-09-17,1.41,5,66,41,VFT/SE/04958
32182108,Suite Jeronimo de Cordoba 9.1,71856789,Gespercon S.L,Casco Antiguo,Santa Catalina,37.39224,-5.98729,Entire home/apt,400,2,1,2019-06-02,0.02,6,9,0,VFT/SE/04845
32182366,Apartamento Puente de Triana,241469104,Acevedo,Triana,Triana Casco Antiguo,37.3872,-6.00544,Entire home/apt,350,2,34,2022-08-10,0.80,1,137,10,VFT/SE/01370
32184260,Suite Jeronimo de Cordoba 9.2,71856789,Gespercon S.L,Casco Antiguo,Santa Catalina,37.39403,-5.98719,Entire home/apt,400,1,0,,,6,10,0,VFT/SE/04846
32208971,Ático Imperial con terraza A,239935182,Teresa Y Javi,Casco Antiguo,San Bartolomé,37.39092,-5.98729,Entire home/apt,130,2,144,2022-09-16,3.47,4,66,55,A/SE/00277
32230412,Loft en pleno centro. La Campana,63098625,Donkey,Casco Antiguo,"Encarnación, Regina",37.3929,-5.99436,Entire home/apt,79,1,3,2019-06-22,0.07,19,99,0,VFT/SE/04079
32230914,Santa Justa Sweet Home,157786150,Sebastian,Nervión,an Roque,37.39245,-5.9817,Private room,70,5,24,2019-06-26,0.55,2,0,0,CTC-2019023928
32241711,Apartamento Realengo Sevilla (FIBES),131517285,Angela,Este - Alcosa - Torreblanca,"Colores, Entreparques",37.404632823903704,-5.92027941270005,Entire home/apt,110,2,0,,,1,42,0,CTC-2020012545
32248337,Apartamento con encanto centro historico WiFi,51048225,Javier,Casco Antiguo,San Bartolomé,37.38939,-5.98542,Entire home/apt,67,2,0,,,101,0,0,VFT/SE/01934
32257186,Cozy apartment and Free parking,242094051,Africa,Casco Antiguo,Arenal,37.38867,-5.99717,Entire home/apt,80,2,16,2019-11-03,0.36,1,0,0,VFT/SE/05116
32280198,Sierpes2 Apto con terraza en inmejorable ubicación,30520467,Carlos,Casco Antiguo,Alfalfa,37.3901,-5.99526,Entire home/apt,89,2,97,2022-09-25,2.34,2,313,57,VFT/SE/00615
32296730,3.Apartamento de 1 dormitorio en Sevilla.,238434973,Carmen,Casco Antiguo,San Gil,37.40324,-5.99234,Entire home/apt,25,60,6,2022-07-31,0.17,16,291,1,Exempt
32297739,Modern apartment at the Maestranza bullring,9228673,Home At Homes,Casco Antiguo,Arenal,37.38429,-5.99695,Entire home/apt,197,1,5,2022-05-30,0.69,40,329,5,VFT/SE/03865
32299306,2.Apartamento  cerca del centro de Sevilla.,238434973,Carmen,Macarena,"Doctor Barraquer, G. Renfe, Policlínico",37.40458,-5.99223,Entire home/apt,24,60,5,2022-05-13,0.13,16,363,2,Exempt
32299742,7.Apartamento de 1 dormitorio en la Resolana.,238434973,Carmen,Casco Antiguo,San Gil,37.40279,-5.99258,Entire home/apt,26,60,4,2021-12-01,0.12,16,300,1,Exempt
32299743,CHARMING CORNERS ROMERO,202762700,Charming Corners,Casco Antiguo,Alfalfa,37.38985,-5.99317,Entire home/apt,97,2,22,2022-08-15,0.53,3,284,15,VFT/SE/04924
32300495,AlohaMundi Zaragoza l,118796113,Pepe Y Maru,Casco Antiguo,Arenal,37.38868,-5.99668,Entire home/apt,100,2,25,2022-08-25,0.57,38,66,16,VFT/SE/05293
32326331,Acogedora casa en el centro auténtico de Sevilla,23324744,Dario,Casco Antiguo,San Julián,37.39488,-5.98759,Entire home/apt,55,1,28,2021-10-02,0.67,1,75,1,CTC-2019061173
32332375,Room 2 : Cama de matrimonio(Double bed),47314173,Andres,Macarena,Villegas,37.40889,-5.97776,Private room,25,2,42,2022-09-23,1.02,1,339,21,000753735320
32332659,Sierpes3 Apto con terraza en inmejorable ubicación,30520467,Carlos,Casco Antiguo,Arenal,37.38839,-5.99488,Entire home/apt,85,2,90,2022-09-23,2.17,2,320,46,VFT/SE/00614
32348424,Luxury Penthouse with private pool and garage.,242867434,Raúl,Casco Antiguo,"Encarnación, Regina",37.39333,-5.99358,Entire home/apt,200,2,0,,,1,48,0,VFT/SE/07328
32357389,Casa Placentines 2. COME TO SEVILLA,54707660,Lukanda,Casco Antiguo,Santa Cruz,37.38791,-5.99128,Entire home/apt,151,1,1,2019-08-27,0.03,29,255,0,CTC-2019006205
32357882,Casa Placentines 1. COME TO SEVILLA,54707660,Lukanda,Casco Antiguo,Santa Cruz,37.38798,-5.99291,Entire home/apt,114,1,14,2022-09-17,1.01,29,259,11,CTC-2019006205
32372946,LA CASA DEL CONDE.Centro.Junto Barrio Sta Cruz,243082025,Jose Carlos,Casco Antiguo,San Bartolomé,37.38895,-5.9884,Entire home/apt,58,2,63,2022-09-21,1.44,1,254,33,VFT/SE/02096
32392774,✓ Tu Hogar de Lujo ★★★★★ en el Centro de Sevilla,243246681,Emilio,Casco Antiguo,Arenal,37.3881,-5.99989,Entire home/apt,271,2,80,2022-09-23,1.86,1,109,41,VFT/SE/04468
32394893,Apartamento corazón de Sevilla,120751063,Pilar,Casco Antiguo,Alfalfa,37.39073,-5.99223,Entire home/apt,104,3,123,2022-09-24,2.83,4,105,72,VFT/SE/03966
32415685,Ñ.Wonderful apt.Perfect location.4 rooms.9 PX.A/C,996454,Maria,Casco Antiguo,Alfalfa,37.39024,-5.99017,Entire home/apt,158,1,2,2020-01-03,0.05,20,0,0,CTC2018193357
32444823,GotoSeville Amazing central duplex with roof terrace,242344266,GotoSeville,Casco Antiguo,"Encarnación, Regina",37.3936,-5.98848,Entire home/apt,172,1,157,2022-09-09,3.62,15,326,32,
32455446,JEYS SEVILLA CENTRO,243821636,Ignacio,Casco Antiguo,Alfalfa,37.39047,-5.99668,Private room,500,1,0,,,1,364,0,H/SE/00108
32458809,Centro de Sevilla. Bonito y acogedor apartamento,15252230,Mamen,Casco Antiguo,San Vicente,37.39501,-6.00182,Entire home/apt,84,3,35,2022-06-25,0.83,1,141,11,VFT/SE/04945
32459740,"Room with 2 beds in Santa Justa, Sevilla",157786150,Sebastian,Nervión,an Roque,37.3923,-5.98197,Private room,70,5,28,2019-06-26,0.64,2,0,0,CTC-2019023928
32460590,Spacious 3 Bd apartment with views to the Metropol. Encarnacion,150247554,Pablo,Casco Antiguo,Alfalfa,37.3915,-5.99042,Entire home/apt,182,1,5,2022-08-22,0.35,34,196,4,VTF/SE/02877
32461637,"Beautiful 2 Bd Apart with Private Terrace 1 step away from the Cathedral, Mateos Gago Terrace III",92573910,Esther,Casco Antiguo,Santa Cruz,37.38749,-5.98961,Entire home/apt,218,2,15,2022-09-08,0.37,37,218,11,VFT/SE/00882
32462795,"Cozy & Bright 2 Bd Apartment, Plaza de la Maestranza",15819228,Genteelhome,Casco Antiguo,Arenal,37.38504,-5.99817,Entire home/apt,153,1,0,,,21,144,0,VFT/SE/01019
32478773,Apartamento Familiar Céntrico,12530855,Victoria,Casco Antiguo,"Encarnación, Regina",37.39366,-5.99244,Entire home/apt,40,2,44,2022-08-01,1.02,2,0,1,SE/6399
32480665,Apartamento Plaza de la Gavidia. Céntrico.,93642325,Gavidia,Casco Antiguo,"Encarnación, Regina",37.39474,-5.99602,Entire home/apt,116,2,129,2022-09-23,2.98,2,96,43,VFT/SE/05215
32483344,Confortable 2 BD apartment close to the Real Plaza de La Maestranza. Velarde,92573910,Esther,Casco Antiguo,Arenal,37.38423,-5.99829,Entire home/apt,154,1,0,,,37,215,0,VFT/SE/00340
32483731,Modern and exclusive apartment located in the historic heart of Seville. Pajaritos,15819228,Genteelhome,Casco Antiguo,Arenal,37.38765,-5.99548,Entire home/apt,192,1,4,2022-08-28,0.10,21,225,3,VFT/SE/03382
32487518,Habitación  doble con baño privado en casa palacio,161557572,Cristal,Casco Antiguo,San Lorenzo,37.398836513769034,-5.995065,Private room,52,2,5,2019-06-02,0.12,6,80,0,VFT/SE/04445
32507776,LA CASA DE MOLINO.Vive la Alameda de Hércules!,244263954,Mario,Casco Antiguo,Feria,37.3978,-5.99182,Entire home/apt,65,2,98,2022-09-14,2.25,1,251,45,CTC-201900003737
32508353,Lovely and brand new 3 BD duplex with Terrace. Galera III,15819228,Genteelhome,Casco Antiguo,Arenal,37.38716,-5.99969,Entire home/apt,199,1,27,2022-09-08,0.65,21,193,11,CTC-2019033421
32543257,Typical Sevillian House in the Center,244395115,Isabella,Casco Antiguo,Feria,37.39627,-5.99025,Entire home/apt,98,3,76,2022-09-11,1.78,1,279,27,CTC-2018000451
32550953,APARTAMENTO SAN LUIS. Plaza de Parking Gratis!!!,244612650,Susana,Casco Antiguo,San Gil,37.40039,-5.98762,Entire home/apt,67,2,63,2022-09-15,1.45,1,232,25,VFT/SE703058
32588153,"Cozy apartment Seville old town, WiFi / AC",243308448,Fabio,Casco Antiguo,Feria,37.39686,-5.98931,Entire home/apt,66,3,59,2022-08-28,1.40,26,144,21,CTC-2018133184
32588920,ESTUDIO 10 Junto a La Campana-Alameda VFT/SE/05097,244928844,Ines Maria,Casco Antiguo,"Encarnación, Regina",37.39433,-5.99474,Entire home/apt,76,2,113,2022-09-25,2.60,1,192,27,VFT/SE/05097
32589126,Apart.Ideal en SantaCruz,243308448,Fabio,Casco Antiguo,Alfalfa,37.3903,-5.98926,Entire home/apt,64,3,44,2022-09-08,1.05,26,140,20,VFT/SE/01419
32590555,Beautiful apartment in the old town of Seville,243308448,Fabio,Casco Antiguo,Feria,37.39521,-5.98938,Entire home/apt,66,3,46,2022-09-03,1.08,26,135,4,CTC-2018063318
32609500,"Modern loft Seville historic center, WiFi and A/C",5377739,Teye,Casco Antiguo,Feria,37.39725,-5.99049,Entire home/apt,54,3,89,2022-09-04,2.09,2,98,49,CTC2018063387
32610853,SEVILLA CENTRAL LOCATION. BRAND NEW RENOVATED FLAT,2620944,Eduardo J.,Casco Antiguo,San Vicente,37.39429,-6.00218,Entire home/apt,48,2,98,2022-09-25,2.26,3,77,24,Exempt
32611023,New Apartment old town WI-FI/AC,45713469,Juan,Casco Antiguo,Feria,37.3973,-5.99353,Entire home/apt,67,3,122,2022-09-21,2.92,4,122,68,CTC-2019010104
32611329,Elegant apartment on the famous Calle Sierpes,243308448,Fabio,Casco Antiguo,Alfalfa,37.39148,-5.99376,Entire home/apt,59,3,12,2022-09-10,0.29,26,135,5,VFT/SE/01582
32630836,Cerrajería by Outin,176973900,Diana,Casco Antiguo,Alfalfa,37.39152,-5.99331,Entire home/apt,103,2,37,2021-02-28,0.85,1,81,0,VFT/SE/02884
32637617,NEW!! Elegant Large Historic Duplex City Center,90286205,Maria,Casco Antiguo,"Encarnación, Regina",37.39492,-5.99166,Entire home/apt,113,2,0,,,2,2,0,VFT/SE/06883
32649271,"Casa 4p con Terraza y vistas ""La Plaza de España""",126219641,Rocio,Sur,Huerta de la Salud,37.37555,-5.98213,Entire home/apt,85,2,0,,,1,0,0,VFT/SE/07372
32656915,"Alameda 1. 1-bedroom, private terrace",12731128,Paula,Casco Antiguo,San Lorenzo,37.39919,-5.99551,Entire home/apt,122,1,25,2022-09-24,0.59,10,303,15,VFT/SE/00115
32658373,Acogedor y Estiloso apartamento en casco historico,14958822,Nacho,Casco Antiguo,San Vicente,37.39548,-6.00202,Entire home/apt,98,2,43,2022-06-24,1.00,125,78,4,VTF/SE/05349
32658739,"Celinda. 2 bedrooms, 2 bathrooms, private terrace",12731128,Paula,Casco Antiguo,Alfalfa,37.39112,-5.99093,Entire home/apt,139,1,41,2022-08-31,0.95,10,207,30,VFT/SE/00054
32660906,Resitur 114,245573169,Dolores,Triana,Triana Este,37.37975,-5.99979,Hotel room,700,1,2,2019-05-26,0.05,1,259,0,ctc-20190880451
32667602,AlohaMundi Plaza Magdalena spectacular terrace,9147884,Luis,Casco Antiguo,Alfalfa,37.38992,-5.99698,Entire home/apt,109,2,121,2022-09-10,2.80,1,69,56,VFT/SE/05758
32667649,"Secret Sevilla – Central Calme Lumineux, 1 Chambre",10795586,Guillaume,Casco Antiguo,Alfalfa,37.39172,-5.99123,Entire home/apt,60,3,108,2022-09-21,2.56,2,144,41,CTC-2019 010548
32679280,"San Felipe. 1 bedroom, private terrace",12731128,Paula,Casco Antiguo,"Encarnación, Regina",37.3935,-5.98961,Entire home/apt,122,1,36,2022-09-20,0.84,10,303,20,VFT/SE/02629
32708044,Apartamento en pleno centro,136036258,María,Casco Antiguo,Alfalfa,37.38958,-5.99214,Entire home/apt,55,2,92,2022-09-21,2.54,1,124,59,CTC2019163740
32754830,Luxury Campana Donkey,63098625,Donkey,Casco Antiguo,"Encarnación, Regina",37.3929,-5.99436,Entire home/apt,98,1,57,2022-08-21,1.33,19,1,4,VFT/SE/04554
32757821,"Habitación individual (Nº 2), tranquila en Triana",140879544,Pilar,Triana,Triana Casco Antiguo,37.38789,-6.00698,Private room,65,2,2,2022-06-06,0.46,3,364,2,VFT/SE/02947
32772408,Cozy apartment in the historic center. A/C Wi-Fi,243308448,Fabio,Casco Antiguo,San Vicente,37.39774,-5.99983,Entire home/apt,69,3,98,2022-09-18,2.34,26,139,55,CTC-2018047001
32772832,"Precioso y moderno Loft, casco antiguo de Sevilla",180647305,Jesus,Casco Antiguo,San Julián,37.39613,-5.9859,Entire home/apt,52,3,72,2022-08-20,1.70,2,90,32,VFT/SE/03345
32773629,Elegante y acogedor apartamento centro Sevilla,180647305,Jesus,Casco Antiguo,San Julián,37.39625,-5.98553,Entire home/apt,56,3,56,2022-08-31,1.33,2,93,25,VFT/SE/03345
32776332,Apartamento zona Palacio de las Dueñas y las Setas,246527045,Clotilde,Casco Antiguo,Feria,37.39505,-5.98853,Entire home/apt,101,2,20,2020-02-23,0.47,1,20,0,CTC-2019030411
