"";"name";"host_id";"host_name";"neighbourhood_group";"neighbourhood";"latitude";"longitude";"room_type";"price";"minimum_nights";"number_of_reviews";"last_review";"reviews_per_month";"calculated_host_listings_count";"availability_365";"number_of_reviews_ltm";"license";"log_price";"log_minimum_nights";"dummy_room_type";"dummy_ng"
"1";"Explore Cultural Sights from a Family-Friendly Apartment";139939;"Alejandro";"Casco Antiguo";"San Vicente";37,39358;-5,99975;"Entire home/apt";99;2;168;"2020-01-08";1,18;1;117;0;"CTC-2018150852";4,59511985013459;0,693147180559945;"Entire home/apt";1
"2";"BEAUTIFUL APARTMENT IN SEVILLE";224697;"Walter";"Casco Antiguo";"San Lorenzo";37,39898;-5,99533;"Entire home/apt";75;3;42;"2020-02-17";0,3;1;241;0;"VFT/SE/01116";4,31748811353631;1,09861228866811;"Entire home/apt";1
"3";"(2) ROOM + PRIVATE BATHROOM. CASA DEL BUEN VIAJE";503692;"Margot";"Casco Antiguo";"San Bartolomé";37,38816;-5,98537;"Private room";79;2;86;"2022-06-06";0,64;6;360;11;"H/SE/01244";4,36944785246702;0,693147180559945;"Private room";1
"4";"Sunny apt in heart of seville!!";560040;"Pepe";"Casco Antiguo";"San Lorenzo";37,39794;-5,99795;"Entire home/apt";84;2;160;"2022-09-19";1,16;2;44;8;"VFT/SE/05126";4,43081679884331;0,693147180559945;"Entire home/apt";1
"5";"TERRACE ALAMEDA. WIFI GARAGE DOWNTOWN";589600;"Miguel";"Casco Antiguo";"San Lorenzo";37,39941;-5,99379;"Entire home/apt";85;3;103;"2022-09-08";0,77;10;119;22;"VFT/SE/00748";4,44265125649032;1,09861228866811;"Entire home/apt";1
"6";"Walk to the Cathedral!! ATICO DUPLEX, WIFI.";589600;"Miguel";"Casco Antiguo";"Arenal";37,38551;-5,99497;"Entire home/apt";83;3;212;"2022-09-08";1,54;10;313;40;"VFT/SE/00834";4,4188406077966;1,09861228866811;"Entire home/apt";1
"7";"Walk to the Cathedral!! DUPLEX ARENAL, WIFI.";589600;"Miguel";"Casco Antiguo";"Arenal";37,38549;-5,99506;"Entire home/apt";78;3;132;"2022-09-11";0,97;10;339;26;"CTC-2018177111";4,35670882668959;1,09861228866811;"Entire home/apt";1
"8";"apto lujo 2 D en el Arenal (Sevilla)";629861;"Alvaro";"Casco Antiguo";"Arenal";37,38671;-5,99581;"Entire home/apt";106;64;1;"2019-11-24";0,03;2;22;0;"";4,66343909411207;4,15888308335967;"Entire home/apt";1
"9";"Bamberg Duplex Private Terrace Old town 5 pax";860055;"Maria";"Casco Antiguo";"Santa Cruz";37,38731;-5,99095;"Entire home/apt";150;3;167;"2022-09-11";1,28;23;231;13;"VFT/SE/0426";5,01063529409626;1,09861228866811;"Entire home/apt";1
"10";"Macarena Romans Walls 7 pax";860055;"Maria";"Macarena";"León XIII, Los Naranjos";37,40307;-5,98409;"Entire home/apt";115;3;107;"2022-07-31";0,79;23;299;2;"VFT/SE/00425";4,74493212836325;1,09861228866811;"Entire home/apt";0
"11";"Esmeralda Apartment - VFT/SE/00620";983968;"Jesús";"Macarena";"Las Avenidas";37,40954;-5,98648;"Entire home/apt";67;2;66;"2022-09-03";0,5;9;91;9;"VFT/SE/00620";4,20469261939097;0,693147180559945;"Entire home/apt";0
"12";"Tirso I, 7 minutes walk from the Cathedral";1022533;"Maria";"Casco Antiguo";"Museo";37,38945;-5,99889;"Entire home/apt";80;3;347;"2022-09-18";3,55;1;83;39;"VFT/SE/00035";4,38202663467388;1,09861228866811;"Entire home/apt";1
"13";"HISTORIC ROOM, CENTER OF SEVILLE";1188880;"Lola";"Casco Antiguo";"Museo";37,39299;-5,99916;"Private room";37;1;122;"2022-09-25";0,92;2;52;38;"VFT/SE/01964";3,61091791264422;0;"Private room";1
"14";"Apartment in historic center. WIFI";1330663;"Mario";"Casco Antiguo";"Alfalfa";37,39107;-5,99261;"Entire home/apt";50;2;242;"2022-09-08";1,84;2;73;25;"VFT/SE/01804";3,91202300542815;0,693147180559945;"Entire home/apt";1
"15";"nice loft it the Center, wifi";1391956;"Jorge";"Nervión";"San Bernardo";37,38111;-5,98616;"Entire home/apt";83;2;358;"2022-08-18";2,76;5;23;17;"VFT/SE/00561";4,4188406077966;0,693147180559945;"Entire home/apt";0
"16";"NEAR TOWN HALL APARTMENT, WIFI+A/C";1428269;"Actua Y Gestiona S.L.";"Casco Antiguo";"Santa Cruz";37,38874;-5,99297;"Entire home/apt";123;1;260;"2022-07-18";2,01;4;53;19;"NUMERO DE REGISTRO EN TURISMO VFT/SE/00849";4,81218435537242;0;"Entire home/apt";1
"17";"NEAR TOWN HALL APARTMENT, WIFI+A/C, 2 bedrooms";1428269;"Actua Y Gestiona S.L.";"Casco Antiguo";"Alfalfa";37,39006;-5,99521;"Entire home/apt";125;1;130;"2022-06-07";0,99;4;34;15;"NUMERO DE REGISTRO EN TURISMO. VTE/SE/02816";4,8283137373023;0;"Entire home/apt";1
"18";"Lovely and cozy 75 m2 apartment. No fees!";1501115;"Alberto";"Cerro - Amate";"El Cerro";37,369;-5,95661;"Entire home/apt";49;2;336;"2022-09-09";2,76;1;55;34;"VTF/SE/088";3,89182029811063;0,693147180559945;"Entire home/apt";0
"19";"Corral del Coliseo -WiFi - VFT/SE/00432";264346649;"Eva Maria";"Casco Antiguo";"Encarnación, Regina";37,39362;-5,99065;"Entire home/apt";70;2;424;"2022-09-23";3,31;1;132;43;"VFT/SE/00432";4,24849524204936;0,693147180559945;"Entire home/apt";1
"20";"ROOM WITH A VIEW ON ROOF.";1188880;"Lola";"Casco Antiguo";"Museo";37,39279;-6,00078;"Private room";40;2;431;"2022-08-25";3,35;2;189;28;"VFT/SE/01964";3,68887945411394;0,693147180559945;"Private room";1
"21";"Center with free parking";1643754;"Vicente Andrés";"Nervión";"an Roque";37,39236;-5,98361;"Entire home/apt";74;3;411;"2022-09-05";3,22;1;48;33;"VFT/SE/415";4,30406509320417;1,09861228866811;"Entire home/apt";0
"22";"Flat in the center, full equipped";1693356;"Montserrat";"Casco Antiguo";"San Julián";37,39926;-5,98418;"Entire home/apt";60;2;36;"2022-08-13";0,35;2;8;4;"CTC-2022060409";4,0943445622221;0,693147180559945;"Entire home/apt";1
"23";"18th Century Palace Quiet Light Central Apartment Terrace";879606;"Rafael";"Casco Antiguo";"Alfalfa";37,39022;-5,99126;"Entire home/apt";88;3;509;"2022-09-24";4;2;135;51;"VFT/SE/1549";4,47733681447821;1,09861228866811;"Entire home/apt";1
"24";"Penthouse with¡Large Private Terrac¡Wifi.Triana-Se";1848992;"Jose";"Triana";"Triana Casco Antiguo";37,38693;-6,00382;"Entire home/apt";37;3;330;"2020-07-26";2,59;1;0;0;"VFT/SE/00993";3,61091791264422;1,09861228866811;"Entire home/apt";0
"25";"ático dúplex  y terraza en  Centro Sevilla";1862118;"Charo";"Casco Antiguo";"Feria";37,39823;-5,99243;"Entire home/apt";126;2;13;"2022-09-23";0,32;3;109;3;"201899903787598";4,83628190695148;0,693147180559945;"Entire home/apt";1
"26";"Private Room  in Center of Seville";1920069;"Manuela";"Casco Antiguo";"Arenal";37,38498;-5,9944;"Private room";55;2;736;"2022-09-14";5,85;2;130;60;"VFT/SE/00726";4,00733318523247;0,693147180559945;"Private room";1
"27";"SAN BERNARDO. PARKING + WIFI+ A/C";1428269;"Actua Y Gestiona S.L.";"Nervión";"San Bernardo";37,38197;-5,98289;"Entire home/apt";93;1;368;"2022-06-30";2,91;4;25;27;"NUMERO DE REGISTRO EN TURISMO: VFT/SE/00689";4,53259949315326;0;"Entire home/apt";0
"28";"Apartamento centro Sevilla - WiFi";1971198;"María";"Casco Antiguo";"Alfalfa";37,39157;-5,99016;"Entire home/apt";71;2;63;"2022-09-19";0,55;1;18;21;"VFT/SE/09192";4,26267987704132;0,693147180559945;"Entire home/apt";1
"29";"CASTELLAR APARMENT, CENTRAL PERFECT";1992907;"Jose Luis";"Casco Antiguo";"Feria";37,39634;-5,98925;"Entire home/apt";71;3;230;"2022-09-21";1,82;1;297;23;"VFT/SE/02574";4,26267987704132;1,09861228866811;"Entire home/apt";1
"30";"Bright apartment in La Macarena";2035589;"Óscar";"Macarena";"Macarena 3 Huertas, Macarena 5";37,41041;-5,98842;"Entire home/apt";49;2;73;"2022-09-05";0,58;1;323;9;"CTC-2016129728";3,89182029811063;0,693147180559945;"Entire home/apt";0
"31";"Cool, stylish studio in authentic Triana";2118460;"Rocio";"Triana";"Triana Casco Antiguo";37,38709;-6,00565;"Entire home/apt";51;3;300;"2022-09-19";2,37;4;234;47;"VFT/SE/962";3,93182563272433;1,09861228866811;"Entire home/apt";0
"32";"Apartment Redes 15 (Sevilla) B";2120026;"Jose Maria";"Casco Antiguo";"Museo";37,39298;-5,99951;"Entire home/apt";57;2;104;"2022-09-18";0,86;2;220;33;"VFT/SE/00840";4,04305126783455;0,693147180559945;"Entire home/apt";1
"33";"3 bedr,3 bath.Exclusive town center";2124038;"Tomas";"Casco Antiguo";"Museo";37,38951;-5,99833;"Entire home/apt";186;2;83;"2022-06-29";0,7;7;150;4;"A/SE/001121";5,2257466737132;0,693147180559945;"Entire home/apt";1
"34";"Charming Sevilla centerAlameda";2162363;"Esperanza";"Casco Antiguo";"Encarnación, Regina";37,39564;-5,99411;"Entire home/apt";61;3;360;"2022-09-22";2,85;1;195;49;"VFT/SE/0177";4,11087386417331;1,09861228866811;"Entire home/apt";1
"35";"A11. 10. Catalinón. Tradición, Luz  y Sabor ☆☆☆☆☆";2204184;"Aim";"Casco Antiguo";"Arenal";37,38758;-5,9993;"Entire home/apt";121;14;93;"2019-10-20";0,75;10;114;0;"CTC-2018176863";4,79579054559674;2,63905732961526;"Entire home/apt";1
"36";"Alameda Penthouse. 2 bedrooms, private terrace";2263272;"Manuel";"Casco Antiguo";"Feria";37,39812;-5,99138;"Entire home/apt";208;1;124;"2022-08-19";1;1;231;24;"VFT/SE/00528";5,33753807970132;0;"Entire home/apt";1
"38";"A11.  5 Don Juan. Alegre con Balcones al Exterior♡";2204184;"Aim";"Casco Antiguo";"Arenal";37,38732;-5,99936;"Entire home/apt";121;14;106;"2022-09-19";0,87;10;100;3;"CTC-2018176863";4,79579054559674;2,63905732961526;"Entire home/apt";1
"39";"El ático de las tejas rojas";2325204;"Leonor";"Casco Antiguo";"Alfalfa";37,39151;-5,99267;"Entire home/apt";71;15;130;"2022-07-29";1,04;1;272;7;"VFT/SE/01614";4,26267987704132;2,70805020110221;"Entire home/apt";1
"40";"Stunning Apartment in Great Triana. VFT/SE/00724";2584848;"Jose Manuel";"Triana";"Triana Este";37,38334;-6,00554;"Entire home/apt";78;3;65;"2022-08-07";0,53;3;13;11;"VFT/SE/00724";4,35670882668959;1,09861228866811;"Entire home/apt";0
"41";"Peaceful-centric-WiFi-parking+15€/d";2605665;"Piroska";"Casco Antiguo";"San Bartolomé";37,38894;-5,98804;"Entire home/apt";107;3;272;"2022-08-27";2,18;1;358;27;"VHT/SE/00376";4,67282883446191;1,09861228866811;"Entire home/apt";1
"42";"Apart 8 pers, 50 metros de la catedral";2614256;"Isa";"Casco Antiguo";"Arenal";37,38694;-5,99498;"Entire home/apt";174;2;308;"2022-09-19";2,66;3;110;30;"A/SE/00148";5,15905529921453;0,693147180559945;"Entire home/apt";1
"43";"Apartment Alfarería";2616444;"Nacho";"Triana";"Triana Oeste";37,38384;-6,00532;"Entire home/apt";106;2;463;"2022-09-07";3,74;1;48;10;"VFT/SE/5317";4,66343909411207;0,693147180559945;"Entire home/apt";0
"44";"Special Colors Apartment";2654826;"Jonatan";"Casco Antiguo";"Alfalfa";37,39162;-5,9906;"Entire home/apt";57;1;626;"2022-09-11";5,04;3;43;72;"VFT/SE/00821";4,04305126783455;0;"Entire home/apt";1
"45";"1Bdr Apartment Historic Center I";2426762;"Antonio";"Casco Antiguo";"Alfalfa";37,39057;-5,99066;"Entire home/apt";69;3;255;"2022-09-07";2,08;5;39;32;"VFT/SE/00078";4,23410650459726;1,09861228866811;"Entire home/apt";1
"46";"A11 CoLiving ♫ Ana ☀ Ground floor w/Private entry";2204184;"Aim";"Casco Antiguo";"Arenal";37,38731;-5,99894;"Entire home/apt";92;28;66;"2022-06-20";0,54;10;145;9;"CTC-2018176863";4,52178857704904;3,3322045101752;"Entire home/apt";1
"47";"Private room in historical center Triana";2795069;"Jose Manuel";"Triana";"Triana Casco Antiguo";37,38653;-6,00589;"Private room";36;2;175;"2022-09-20";2,25;1;135;36;"VFT/SE/04721";3,58351893845611;0,693147180559945;"Private room";0
"48";"Sunny/spacious flat  trendy Alameda";1561333;"Desiree";"Casco Antiguo";"San Gil";37,40109;-5,99023;"Entire home/apt";65;7;1;"2018-11-30";0,02;1;113;0;"CTC-2018213705";4,17438726989564;1,94591014905531;"Entire home/apt";1
"49";"1Bdr apt historic center Alfalfa II";2426762;"Antonio";"Casco Antiguo";"Alfalfa";37,39089;-5,98881;"Entire home/apt";64;3;291;"2022-09-11";2,39;5;35;29;"VFT/SE/00089";4,15888308335967;1,09861228866811;"Entire home/apt";1
"50";"Apartament (Redes 15 Sevilla) A";2120026;"Jose Maria";"Casco Antiguo";"Museo";37,39328;-6,0011;"Entire home/apt";59;2;71;"2022-09-18";0,58;2;239;11;"VFT/SE/00840";4,07753744390572;0,693147180559945;"Entire home/apt";1
"51";"Apartment Seville Center_ Ático";2842843;"Inmaculada";"Casco Antiguo";"Alfalfa";37,38895;-5,99676;"Entire home/apt";140;1;31;"2015-12-13";0,25;6;142;0;"A/SE/00130";4,9416424226093;0;"Entire home/apt";1
"52";"Apartment Seville Center _ Bóveda";2842843;"Inmaculada";"Casco Antiguo";"Arenal";37,38705;-5,99679;"Entire home/apt";117;1;15;"2014-12-10";0,12;6;143;0;"A/SE/00130";4,76217393479776;0;"Entire home/apt";1
"53";"Studio Seville Center Double H";2842843;"Inmaculada";"Casco Antiguo";"Arenal";37,38882;-5,99869;"Entire home/apt";108;1;9;"2022-09-20";0,07;6;130;2;"A/SE/00130";4,68213122712422;0;"Entire home/apt";1
"54";"Centro Sevilla - Parking - Patio sevillano - Wi-Fi";2926391;"Alfonso";"Casco Antiguo";"San Bartolomé";37,39037;-5,98722;"Entire home/apt";98;2;155;"2022-07-06";1,27;1;274;9;"VFT/SE/00300";4,58496747867057;0,693147180559945;"Entire home/apt";1
"55";"BEAUTIFUL FLAT- SEVILLA CENTER.";2964157;"Marina";"Casco Antiguo";"Arenal";37,38649;-5,99409;"Entire home/apt";60;2;498;"2022-09-07";4,04;1;73;18;"VTF/SE/00103";4,0943445622221;0,693147180559945;"Entire home/apt";1
"56";"CALM&COZY  LOFT, ALFALFA SETAS SQUARE,WIFI+A/C";2955713;"Rafael";"Casco Antiguo";"Alfalfa";37,39196;-5,98865;"Entire home/apt";86;3;336;"2022-09-21";2,75;3;157;34;"VFT SE/00212";4,45434729625351;1,09861228866811;"Entire home/apt";1
"57";"Azul, Nice apart. Historic center";2901559;"Fernando";"Casco Antiguo";"San Vicente";37,39576;-5,99737;"Entire home/apt";49;2;194;"2020-03-08";1,58;2;0;0;"VFT/SE/00328";3,89182029811063;0,693147180559945;"Entire home/apt";1
"58";"HISTORICAL CENTER SEVILLE  WIFI+A/C";3043319;"Jose Antonio Y Carmen";"Casco Antiguo";"Alfalfa";37,3912;-5,98944;"Entire home/apt";90;2;390;"2022-09-19";3,2;1;145;41;"VFT-SE00069";4,49980967033027;0,693147180559945;"Entire home/apt";1
"59";"Contemporary Loft Space in Historic City Center";3121992;"María Victoria";"Casco Antiguo";"Encarnación, Regina";37,3951;-5,99294;"Entire home/apt";89;3;219;"2022-08-31";1,91;2;0;30;"VFT/SE/00327";4,48863636973214;1,09861228866811;"Entire home/apt";1
"60";"MINI LOFT COOL NEIGHBORHOOD CENTER";1198187;"Oscar";"Casco Antiguo";"San Gil";37,40125;-5,99025;"Entire home/apt";30;4;801;"2022-09-09";6,51;1;0;4;"VFT/SE/00585";3,40119738166216;1,38629436111989;"Entire home/apt";1
"61";"Hostly Lagar-Best value flat in the center - CLess";3173171;"Joaquín Y Natalia";"Casco Antiguo";"Alfalfa";37,39106;-5,99269;"Entire home/apt";88;2;500;"2022-09-25";4,1;29;171;57;"VFT/SE/01265";4,47733681447821;0,693147180559945;"Entire home/apt";1
"62";"Studio Reservaloen Casa del Museo 5";3258098;"Apartamentos Reservaloen";"Casco Antiguo";"San Vicente";37,3932;-5,99997;"Entire home/apt";122;1;5;"2014-10-19";0,04;20;179;0;"A/SE/000167";4,80402104473326;0;"Entire home/apt";1
"63";"Apartments Reservaloen Terrazas de la catedral 8";3258098;"Apartamentos Reservaloen";"Casco Antiguo";"Arenal";37,38689;-5,99768;"Entire home/apt";145;1;1;"2012-10-29";0,01;20;159;0;"A/SE/000137";4,97673374242057;0;"Entire home/apt";1
"64";"Studio Reservaloen casa del Museo 3";3258098;"Apartamentos Reservaloen";"Casco Antiguo";"Museo";37,39291;-6,0002;"Entire home/apt";120;1;2;"2014-12-02";0,02;20;172;0;"A/SE/000167";4,78749174278205;0;"Entire home/apt";1
"65";"CONFROTABLE  SUITE CENTER OF SEVILLE, WIFI";2705030;"Francisco";"Casco Antiguo";"Alfalfa";37,38993;-5,99421;"Entire home/apt";76;3;142;"2022-09-10";1,19;7;52;37;"VFT/SE/00919";4,33073334028633;1,09861228866811;"Entire home/apt";1
"66";"Studio Reservaloen casa del Museo 4";3258098;"Apartamentos Reservaloen";"Casco Antiguo";"Museo";37,39195;-6,00025;"Entire home/apt";120;1;0;"";0;20;182;0;"A/SE/000167";4,78749174278205;0;"Entire home/apt";1
"67";"Nice Penthouse with terrace, city center!";3340359;"Cristina";"Casco Antiguo";"Feria";37,3959;-5,98867;"Entire home/apt";145;2;43;"2022-08-17";0,37;7;163;7;"RTA A/SE/00102";4,97673374242057;0,693147180559945;"Entire home/apt";1
"68";"Apartments Reservaloen Terrazas de la Catedral 2";3258098;"Apartamentos Reservaloen";"Casco Antiguo";"Arenal";37,38658;-5,99757;"Entire home/apt";144;1;2;"2017-02-04";0,02;20;149;0;"A/SE/000137";4,969813299576;0;"Entire home/apt";1
"69";"Studio Reservaloen Casa del Museo 6";3258098;"Apartamentos Reservaloen";"Casco Antiguo";"Museo";37,3925;-5,99805;"Entire home/apt";122;1;0;"";0;20;180;0;"A/SE/000167";4,80402104473326;0;"Entire home/apt";1
"70";"Typical&Quiet Patio Historic Centre";560040;"Pepe";"Casco Antiguo";"San Vicente";37,39636;-5,99822;"Entire home/apt";51;2;68;"2022-09-10";0,56;2;5;13;"VFT/SE/08194";3,93182563272433;0,693147180559945;"Entire home/apt";1
"71";"Apartment historic center, private terrace + WiFi";2426762;"Antonio";"Casco Antiguo";"Alfalfa";37,39042;-5,99054;"Entire home/apt";72;3;325;"2022-09-04";2,67;5;33;40;"VFT/SE/03869";4,27666611901606;1,09861228866811;"Entire home/apt";1
"72";"Reservaloen Salvador Rojo";3258098;"Apartamentos Reservaloen";"Casco Antiguo";"Alfalfa";37,39093;-5,99297;"Entire home/apt";123;1;1;"2016-12-16";0,01;20;178;0;"A/SE/000126";4,81218435537242;0;"Entire home/apt";1
"73";"Apartment-Ensuite with Shower-Salvador Azul";3258098;"Apartamentos Reservaloen";"Casco Antiguo";"Alfalfa";37,39133;-5,9911;"Entire home/apt";124;1;0;"";0;20;183;0;"A/SE/000126";4,82028156560504;0;"Entire home/apt";1
"75";"1 bedroom Apartment historic center";3340359;"Cristina";"Casco Antiguo";"Feria";37,39662;-5,98881;"Entire home/apt";110;2;4;"2017-10-23";0,03;7;174;0;"RTA A/SE/00102";4,70048036579242;0,693147180559945;"Entire home/apt";1
"76";"Reservaloen Salvador Amarillo";3258098;"Apartamentos Reservaloen";"Casco Antiguo";"Alfalfa";37,389;-5,99171;"Entire home/apt";122;1;1;"2018-03-15";0,02;20;180;0;"A/SE/000126";4,80402104473326;0;"Entire home/apt";1
"77";"central and charming with terrace";3601410;"Patricia";"Casco Antiguo";"Alfalfa";37,39092;-5,99663;"Entire home/apt";33;60;66;"2021-12-02";0,55;1;90;1;"Exempt";3,49650756146648;4,0943445622221;"Entire home/apt";1
"78";"Apartment In Heaven Triana";3603333;"Luz";"Triana";"Triana Oeste";37,383715557323;-6,01176035409851;"Entire home/apt";82;4;77;"2022-09-06";0,68;2;33;9;"VFT/SE/359";4,40671924726425;1,38629436111989;"Entire home/apt";0
"79";"NICE FLAT, 2 TV's AND FREE WIFI";3609455;"Javier";"Casco Antiguo";"San Bartolomé";37,3908;-5,98543;"Entire home/apt";55;3;264;"2022-09-25";4,4;1;60;49;"CTC-2018127385";4,00733318523247;1,09861228866811;"Entire home/apt";1
"80";"Historic home downtown Seville1";3625249;"Lola";"Casco Antiguo";"San Vicente";37,39635;-5,99868;"Private room";42;2;392;"2022-09-10";3,23;4;302;29;"VFT/SE/00414";3,73766961828337;0,693147180559945;"Private room";1
"81";"Room near center +breakfast";3625534;"Irina";"Triana";"Triana Este";37,37763;-6,0064;"Private room";27;3;264;"2022-09-20";2,28;1;131;67;"VFT/SE/04584";3,29583686600433;1,09861228866811;"Private room";0
"82";"CHIC FLAT IN  THE HEART OF SEVILLA";3678775;"Alicia";"Casco Antiguo";"Alfalfa";37,39162;-5,99077;"Entire home/apt";85;2;243;"2022-09-23";2,9;2;135;45;"VFT-SE-02229";4,44265125649032;0,693147180559945;"Entire home/apt";1
"83";"Historic home  Seville.room2";3625249;"Lola";"Casco Antiguo";"San Lorenzo";37,39818;-5,99687;"Private room";42;2;350;"2022-09-10";2,89;4;329;24;"VFT/SE/00410";3,73766961828337;0,693147180559945;"Private room";1
"84";"Casa histórica centro Sevilla.room3";3625249;"Lola";"Casco Antiguo";"San Vicente";37,39686;-5,99894;"Private room";25;2;472;"2022-09-06";3,9;4;274;46;"VFT/SE/00410";3,2188758248682;0,693147180559945;"Private room";1
"85";"Casa histórica centro Sevilla.room4";3625249;"Lola";"Casco Antiguo";"San Vicente";37,39803;-5,99877;"Private room";25;2;509;"2022-09-09";4,2;4;256;64;"4. VFT/SE/00410";3,2188758248682;0,693147180559945;"Private room";1
"86";"Apartment in the historic center- VFT/SE/00056";3726424;"Beatriz";"Casco Antiguo";"Alfalfa";37,39029;-5,98902;"Entire home/apt";70;3;296;"2022-09-10";2,6;1;140;31;"VFT/SE/00056";4,24849524204936;1,09861228866811;"Entire home/apt";1
"87";"Room in the centre of Seville";3743082;"Cristina";"Nervión";"La Florida";37,38607;-5,98482;"Private room";56;2;212;"2022-06-05";2,23;1;133;1;"VFT/SE/02075";4,02535169073515;0,693147180559945;"Private room";0
"88";"Habitación Tranquila, Luminosa, A/C en Triana";1513237;"Eukene";"Triana";"Triana Este";37,381123;-6,000666;"Private room";46;2;257;"2022-09-19";2,52;1;58;59;"VFT/SE/04804";3,8286413964891;0,693147180559945;"Private room";0
"89";"Apartment in the center of Seville";3757143;"Jose Antonio";"Casco Antiguo";"San Vicente";37,39372;-6,00007;"Entire home/apt";95;3;128;"2022-08-18";1,08;1;66;6;"VFT/SE/0390";4,55387689160054;1,09861228866811;"Entire home/apt";1
"90";"DOWNTOWN APARTMENT SEVILLA";3758426;"Fernando Maria";"Casco Antiguo";"San Vicente";37,393913;-5,999925;"Entire home/apt";50;2;226;"2022-09-11";2,2;2;107;43;"VFT/SE/00935";3,91202300542815;0,693147180559945;"Entire home/apt";1
"91";"Bright apartment in Sevilla Center.";3340359;"Cristina";"Casco Antiguo";"San Julián";37,3984;-5,98766;"Entire home/apt";111;2;4;"2018-11-17";0,03;7;180;0;"RTA A/SE/00102";4,70953020131233;0,693147180559945;"Entire home/apt";1
"92";"Beautiful apart in the best centr 1";2124038;"Tomas";"Casco Antiguo";"Museo";37,38951;-5,99833;"Entire home/apt";100;2;8;"2022-06-04";0,07;7;158;1;"A/SE/00121";4,60517018598809;0,693147180559945;"Entire home/apt";1
"93";"Great apartment in the old town 2";2124038;"Tomas";"Casco Antiguo";"Museo";37,38951;-5,99833;"Entire home/apt";132;3;45;"2019-10-21";0,39;7;146;0;"A/SE/00121";4,88280192258637;1,09861228866811;"Entire home/apt";1
"94";"2 bedr,3 bath in the old town (3)";2124038;"Tomas";"Casco Antiguo";"Museo";37,38951;-5,99833;"Entire home/apt";132;3;21;"2018-04-04";0,19;7;82;0;"A/SE/00121";4,88280192258637;1,09861228866811;"Entire home/apt";1
"95";"Luxury apart in the best centre (4)";2124038;"Tomas";"Casco Antiguo";"Museo";37,38951;-5,99833;"Entire home/apt";158;2;133;"2022-06-26";1,21;7;148;8;"A/SE/00121";5,06259503302697;0,693147180559945;"Entire home/apt";1
"96";"AlohaMundi Azahar";3802491;"José";"Casco Antiguo";"Alfalfa";37,38879;-5,9943;"Entire home/apt";91;2;312;"2022-09-12";2,6;2;71;28;"VFT/SE/00322";4,51085950651685;0,693147180559945;"Entire home/apt";1
"97";"Penthouse with private terrace "" Bécquer""";3858271;"Inmaculada";"Casco Antiguo";"San Gil";37,40294;-5,99363;"Entire home/apt";90;3;293;"2022-09-05";2,91;2;139;39;"VFT/SE/00651";4,49980967033027;1,09861228866811;"Entire home/apt";1
"98";"Private room in the historic center";3859217;"Mari Carmen";"Casco Antiguo";"San Gil";37,40134;-5,98888;"Private room";50;2;88;"2022-06-05";0,97;1;321;18;"ctc 2018152747";3,91202300542815;0,693147180559945;"Private room";1
"99";"PALACE HOUSE Apt Giralda view WIFI";3889491;"Inmaculada";"Casco Antiguo";"Alfalfa";37,38922;-5,99178;"Entire home/apt";88;3;421;"2022-09-24";3,49;1;166;62;"SE/VFT 00857";4,47733681447821;1,09861228866811;"Entire home/apt";1
"100";"COMFORTABLE AND COZY APARTMENT IN SEVILLE.";3938234;"Raimundo";"Nervión";"an Roque";37,3919;-5,98365;"Entire home/apt";55;4;20;"2022-09-20";0,17;1;321;5;"VTF/SE/04548";4,00733318523247;1,38629436111989;"Entire home/apt";0
"101";"Apto.CATEDRAL: WIFI, A/C, Parking";3952052;"Javier";"Casco Antiguo";"Arenal";37,38586;-5,99416;"Entire home/apt";88;2;403;"2022-09-21";3,35;4;230;22;"VTF/SE/00486";4,47733681447821;0,693147180559945;"Entire home/apt";1
"102";"CATHEDRAL 3min CENTER SEVILLE Wi-Fi";3970561;"Rosa";"Casco Antiguo";"Santa Cruz";37,38934;-5,9933;"Entire home/apt";89;2;190;"2022-09-24";1,59;1;252;41;"VFT/SE/00357";4,48863636973214;0,693147180559945;"Entire home/apt";1
"103";"APART. MODERNO CON GARAGE Y PISCINA";3767896;"María";"Macarena";"Pino Flores";37,40776;-5,97214;"Entire home/apt";102;2;93;"2022-08-28";0,78;3;78;6;"VFT/SE/00757";4,62497281328427;0,693147180559945;"Entire home/apt";0
"104";"Chic & Cheap  next to Giralda";3678775;"Alicia";"Casco Antiguo";"Alfalfa";37,39242;-5,99218;"Entire home/apt";85;2;284;"2022-09-23";2,4;2;136;17;"CTC-2019213781";4,44265125649032;0,693147180559945;"Entire home/apt";1
"105";"APARTMENTS OLÉ - SANTA CRUZ TERRACE";4015124;"Angela";"Casco Antiguo";"Santa Cruz";37,38643;-5,98924;"Entire home/apt";170;1;76;"2022-09-18";0,67;4;68;4;"A/SE/00142";5,13579843705026;0;"Entire home/apt";1
"106";"Apartments Olé - Santa Cruz 1";4015124;"Angela";"Casco Antiguo";"Santa Cruz";37,38498;-5,98729;"Entire home/apt";171;1;99;"2022-06-28";0,85;4;20;2;"A/SE/00140";5,14166355650266;0;"Entire home/apt";1
"107";"HOSTLY SIERPES A- CENTER-FIBER-PARKING OPTIONAL";3173171;"Joaquín Y Natalia";"Casco Antiguo";"Alfalfa";37,38949;-5,9953;"Entire home/apt";106;2;646;"2022-09-17";5,37;29;164;80;"A/SE/00268";4,66343909411207;0,693147180559945;"Entire home/apt";1
