"";"name";"host_id";"host_name";"neighbourhood_group";"neighbourhood";"latitude";"longitude";"room_type";"price";"minimum_nights";"number_of_reviews";"last_review";"reviews_per_month";"calculated_host_listings_count";"availability_365";"number_of_reviews_ltm";"license";"log_price";"log_minimum_nights";"dummy_room_type";"dummy_ng"
"4944";"Stylish apartment in Triana - Optional parking";426381789;"Teresa";"Triana";"Triana Casco Antiguo";37,38813;-6,00788;"Entire home/apt";199;2;18;"2022-09-09";1,57;1;329;18;"VFT/SE/07916";5,29330482472449;0,693147180559945;"Entire home/apt";0
"4945";"NEW! Arenal  2 bedrooms 2 bathroom private Terrace";14958822;"Nacho";"Casco Antiguo";"Santa Cruz";37,38379;-5,98891;"Entire home/apt";134;2;37;"2022-09-21";3,17;125;88;37;"VFT/SE/08491";4,89783979995091;0,693147180559945;"Entire home/apt";1
"4946";"Tetuan 4B";251355579;"Francos";"Casco Antiguo";"Alfalfa";37,39063;-5,99489;"Entire home/apt";111;1;5;"2022-07-03";0,44;8;339;5;"A/SE/00312";4,70953020131233;0;"Entire home/apt";1
"4947";"Duplex with terrace Santa Rufina";426443677;"Jose Antonio";"Casco Antiguo";"Feria";37,398548;-5,99241;"Entire home/apt";105;2;10;"2022-09-22";0,89;1;330;10;"VFT/SE/08569";4,65396035015752;0,693147180559945;"Entire home/apt";1
"4948";"Santa Cruz Apartment, 2 pax, quiet and stil";860055;"Maria";"Casco Antiguo";"Santa Cruz";37,38623;-5,99182;"Entire home/apt";105;3;6;"2022-05-15";0,54;23;189;6;"VFT/SE/08705";4,65396035015752;1,09861228866811;"Entire home/apt";1
"4949";"Exclusivo Duplex con terraza en Sevilla";426490929;"Katrin";"Nervión";"an Roque";37,38963;-5,98207;"Entire home/apt";121;2;46;"2022-08-19";4,18;1;151;46;"VTF/SE06408";4,79579054559674;0,693147180559945;"Entire home/apt";0
"4950";"Muy cerca del centro de Sevilla. Gelvesturist 2";157948886;"Veronica";"Los Remedios";"Tablada";37,34754;-6,03093;"Entire home/apt";60;2;24;"2022-09-25";2,07;2;148;24;"VFT/SE/07527";4,0943445622221;0,693147180559945;"Entire home/apt";0
"4951";"Apartamento en el casco antiguo de Sevilla";426573113;"Maria";"Casco Antiguo";"Feria";37,39497;-5,9899;"Entire home/apt";95;2;10;"2022-09-11";0,89;1;97;10;"VFT/Se/08609";4,55387689160054;0,693147180559945;"Entire home/apt";1
"4952";"Balconies of San Bernardo";88245145;"Gemma";"Nervión";"La Florida";37,38476;-5,9823;"Entire home/apt";93;3;40;"2022-08-08";3,47;5;121;40;"VFT/SE/08678";4,53259949315326;1,09861228866811;"Entire home/apt";0
"4953";"Apartamento moderno y con encanto en pleno centro";2138957;"José Ignacio";"Casco Antiguo";"San Bartolomé";37,386124;-5,986941;"Entire home/apt";80;3;42;"2022-09-21";3,9;1;100;42;"VFT/SE/00244";4,38202663467388;1,09861228866811;"Entire home/apt";1
"4954";"Ohliving Maestranza";172894482;"Ohliving";"Casco Antiguo";"Arenal";37,384621;-5,997537;"Entire home/apt";119;2;53;"2022-09-25";4,82;13;67;53;"VFT/SE/02276";4,77912349311153;0,693147180559945;"Entire home/apt";1
"4955";"Apartamento Vista Giralda";426855848;"Miriam";"Casco Antiguo";"Santa Cruz";37,38518;-5,9921;"Entire home/apt";177;1;30;"2022-09-23";4,33;2;129;30;"VFT/SE/08783";5,17614973257383;0;"Entire home/apt";1
"4956";"MAGDALENA CENTER PREMIUM SUITE (+FREE PARKING)";175608443;"Ramon";"Casco Antiguo";"Alfalfa";37,39131;-5,99736;"Entire home/apt";143;2;26;"2022-09-17";2,23;6;24;26;"VFT/SE/06975";4,96284463025991;0,693147180559945;"Entire home/apt";1
"4957";"La casa del Husky";427079984;"Maria Pilar";"Casco Antiguo";"San Bartolomé";37,38851;-5,9849;"Entire home/apt";52;2;32;"2022-09-22";5,65;1;334;32;"VFT/SE/09020";3,95124371858143;0,693147180559945;"Entire home/apt";1
"4959";"Alfaqueque. 1-bedroom, private terrace, solarium";56838814;"Veoapartment";"Casco Antiguo";"San Vicente";37,39439;-6,000656;"Entire home/apt";174;1;12;"2022-08-11";1,08;31;236;12;"VTF/SE/00347";5,15905529921453;0;"Entire home/apt";1
"4960";"Apartamento acogedor con la mejor ubicación.";427207000;"Amparo";"Triana";"Triana Este";37,37861;-6,00064;"Entire home/apt";66;2;44;"2022-09-11";3,91;1;268;44;"CTC-20211354436";4,18965474202643;0,693147180559945;"Entire home/apt";0
"4962";"Ático a 300 metros de la catedral";189203635;"Juan Antonio";"Casco Antiguo";"Arenal";37,38377;-5,99747;"Entire home/apt";82;1;25;"2022-09-11";2,25;9;288;25;"VFT/SE/04947D";4,40671924726425;0;"Entire home/apt";1
"4963";"Precioso duplex en el centro de sevilla.";366687809;"Silvia";"Casco Antiguo";"Encarnación, Regina";37,39351;-5,99449;"Entire home/apt";120;2;2;"2022-06-05";0,17;6;66;2;"VFT/SE/00205";4,78749174278205;0,693147180559945;"Entire home/apt";1
"4965";"Sevilla esperanto Ĉ3";335858031;"Yuro";"Casco Antiguo";"Santa Cruz";37,38664;-5,99048;"Private room";43;1;31;"2022-09-11";2,74;2;38;31;"Exempt";3,76120011569356;0;"Private room";1
"4966";"Sevilla esperanto Ĉ4";335858031;"Yuro";"Casco Antiguo";"Santa Cruz";37,38808;-5,99152;"Private room";39;1;38;"2022-09-18";3,38;2;55;38;"Exempt";3,66356164612965;0;"Private room";1
"4975";"AlohaMundi Francos II";427904817;"Pepe Y Maru";"Casco Antiguo";"Alfalfa";37,38893;-5,99175;"Entire home/apt";98;2;47;"2022-09-13";4,38;1;81;47;"VFT/SE/00823";4,58496747867057;0,693147180559945;"Entire home/apt";1
"4976";"Mágnífico apartamento en el centro de Sevilla";19236788;"Javier";"Casco Antiguo";"Alfalfa";37,38882;-5,99469;"Entire home/apt";180;2;30;"2022-09-20";2,97;1;144;30;"VFT/SE/08243";5,19295685089021;0,693147180559945;"Entire home/apt";1
